Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
2023-03-30,ARI,@,LAD,L,2.0,8.0,9.0,0-1,3.0,1.0,Urías,Gallen,None,2:35,N,52075.0,1.01,-1,
2023-03-31,ARI,@,LAD,W,2.0,1.0,9.0,1-1,2.0,1.0,Jameson,Vesia,Chafin,2:41,N,45389.0,.97,1,
2023-04-01,ARI,@,LAD,L,1.0,10.0,9.0,1-2,4.0,1.0,Kershaw,Bumgarner,Jackson,2:14,N,48886.0,1.03,-1,
2023-04-02,ARI,@,LAD,W,2.0,1.0,9.0,2-2,1.0,Tied,Chafin,Graterol,McGough,2:32,D,46549.0,.96,1,
2023-04-03,ARI,@,SDP,L-wo,4.0,5.0,9.0,2-3,4.0,1.0,Hill,McGough,None,2:29,N,37602.0,1.01,-1,
2023-04-04,ARI,@,SDP,W,8.0,6.0,9.0,3-3,2.0,1.0,Ginkel,García,Jameson,2:55,D,34542.0,1.01,1,
2023-04-06,ARI,Home,LAD,L,2.0,5.0,9.0,3-4,3.0,2.0,May,Kelly,Phillips,2:43,N,48034.0,1.06,-1,
2023-04-07,ARI,Home,LAD,W,6.0,3.0,9.0,4-4,2.0,1.0,Jameson,Kershaw,None,2:28,N,30249.0,.98,1,
2023-04-08,ARI,Home,LAD,W,12.0,8.0,9.0,5-4,1.0,Tied,Nelson,Syndergaard,None,2:43,N,26881.0,1.03,2,
2023-04-09,ARI,Home,LAD,W,11.0,6.0,9.0,6-4,1.0,Tied,Nelson,Grove,None,2:45,D,18543.0,1.10,3,
2023-04-10,ARI,Home,MIL,W,3.0,0.0,9.0,7-4,1.0,up 1.0,Gallen,Miley,Chafin,2:12,N,12681.0,1.07,4,
2023-04-11,ARI,Home,MIL,L,1.0,7.0,9.0,7-5,1.0,Tied,Burnes,Kelly,None,2:19,N,17069.0,1.08,-1,
2023-04-12,ARI,Home,MIL,W,7.0,3.0,9.0,8-5,1.0,up 1.0,Nelson,Junk,None,2:40,D,13136.0,1.05,1,
2023-04-14,ARI,@,MIA,L,1.0,5.0,9.0,8-6,1.0,up 1.0,Rogers,Bumgarner,None,2:11,N,10961.0,1.14,-1,
2023-04-15,ARI,@,MIA,L,2.0,3.0,9.0,8-7,1.0,Tied,Nardi,McGough,Scott,2:33,D,11038.0,1.09,-2,
