Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled\
1,Friday Apr 8,boxscore,BOS,@,NYY,L-wo,5,6,11,0-1,4,1.0,King,Crawford,,3:56,D,46097,1.01,-,\
2,Saturday Apr 9,boxscore,BOS,@,NYY,L,2,4,,0-2,4,2.0,Luetge,Pivetta,Chapman,2:58,D,46882,.94,--,\
3,Sunday Apr 10,boxscore,BOS,@,NYY,W,4,3,,1-2,4,2.0,Crawford,Schmidt,Diekman,3:40,N,40108,.90,+,\
4,Monday Apr 11,boxscore,BOS,@,DET,L,1,3,,1-3,4,2.0,Fulmer,Davis,Soto,2:50,N,11840,.90,-,\
5,Tuesday Apr 12,boxscore,BOS,@,DET,W,5,3,,2-3,4,2.0,Whitlock,Lange,,2:49,D,15781,.87,+,\
6,Wednesday Apr 13,boxscore,BOS,@,DET,W,9,7,,3-3,3,1.0,Eovaldi,Rodriguez,Robles,3:51,D,10522,.92,++,\
7,Friday Apr 15,boxscore,BOS,,MIN,L,4,8,,3-4,4,1.5,Ryan,Pivetta,,3:33,D,36266,.93,-,\
8,Saturday Apr 16,boxscore,BOS,,MIN,W,4,0,,4-4,3,0.5,Houck,Gray,,2:45,D,34990,.94,+,\
9,Sunday Apr 17,boxscore,BOS,,MIN,W,8,1,,5-4,2,0.5,Strahm,Ober,,2:51,D,28858,.98,++,\
10,Monday Apr 18,boxscore,BOS,,MIN,L,3,8,,5-5,2,1.0,Bundy,Hill,,3:28,D,32514,1.01,-,\
11,Tuesday Apr 19,boxscore,BOS,,TOR,W,2,1,,6-5,1,Tied,Robles,Garc\'eda,Whitlock,3:10,N,31640,1.06,+,\
12,Wednesday Apr 20,boxscore,BOS,,TOR,L,1,6,,6-6,4,1.0,Berr\'edos,Pivetta,,3:07,N,33354,1.07,-,\
13,Thursday Apr 21,boxscore,BOS,,TOR,L,2,3,,6-7,4,2.0,Gausman,Houck,Romano,2:59,D,35792,1.02,--,\
14,Friday Apr 22,boxscore,BOS,@,TBR,W,4,3,,7-7,3,2.0,Wacha,Kluber,Barnes,3:21,N,16902,.96,+,\
15,Saturday Apr 23,boxscore,BOS,@,TBR,L-wo,2,3,10,7-8,4,3.0,Wisler,Robles,,3:05,N,19137,1.03,-,\
16,Sunday Apr 24,boxscore,BOS,@,TBR,L,2,5,,7-9,4,3.0,McClanahan,Valdez,Thompson,2:38,D,20993,.99,--,\
17,Monday Apr 25,boxscore,BOS,@,TOR,L,2,6,,7-10,4,4.0,Cimber,Strahm,,2:16,N,20981,.94,---,\
18,Tuesday Apr 26,boxscore,BOS,@,TOR,L-wo,5,6,10,7-11,4,5.0,Romano,Barnes,,3:47,N,22611,.89,----,\
19,Wednesday Apr 27,boxscore,BOS,@,TOR,W,7,1,,8-11,4,4.5,Wacha,Thornton,,3:05,N,20468,.86,+,\
20,Thursday Apr 28,boxscore,BOS,@,TOR,L,0,1,,8-12,4,5.5,Manoah,Whitlock,Romano,2:42,D,23144,.88,-,\
21,Friday Apr 29,boxscore,BOS,@,BAL,W,3,1,,9-12,4,5.5,Houck,Bradish,Strahm,2:57,N,15685,.78,+,\
22,Saturday Apr 30,boxscore,BOS,@,BAL,L-wo,1,2,10,9-13,4,6.5,L\'f3pez,Sawamura,,3:09,N,19927,.83,-,\
23,Sunday May 1,boxscore,BOS,@,BAL,L,5,9,,9-14,4,7.5,Lyles,Pivetta,,3:19,D,19117,.80,--,\
24,Tuesday May 3,boxscore,BOS,,LAA,W,4,0,,10-14,4,8.0,Wacha,Syndergaard,,2:23,N,29793,.75,+,\
25,Wednesday May 4,boxscore,BOS,,LAA,L,5,10,10,10-15,4,8.0,Tepera,Barnes,,3:42,N,27679,.74,-,\
26,Thursday May 5,boxscore,BOS,,LAA,L,0,8,,10-16,4,8.5,Ohtani,Houck,,2:55,D,29476,.70,--,\
27,Friday May 6,boxscore,BOS,,CHW,L,2,4,,10-17,5,9.0,Velasquez,Eovaldi,Hendriks,3:29,N,30944,.61,---,\
28,Saturday May 7,boxscore,BOS,,CHW,L,1,3,10,10-18,5,9.5,L\'f3pez,Barnes,Hendriks,3:42,D,33026,.55,----,\
29,Sunday May 8,boxscore,BOS,,CHW,L,2,3,,10-19,5,10.0,Keuchel,Houck,Sousa,3:21,D,28602,.50,-----,\
