Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Apr 8",boxscore,TOR,,TEX,W,10,8,,Jan-00,1,Tied,Cimber,Santana,Romano,3:26,N,"45,022",0.93,+,
2,"Saturday, Apr 9",boxscore,TOR,,TEX,W,4,3,,Feb-00,1,Tied,Richards,Martin,Romano,2:39,D,"43,386",0.94,++,
3,"Sunday, Apr 10",boxscore,TOR,,TEX,L,6,12,,1-Feb,2,1,Burke,Merryweather,,3:24,D,"31,549",0.99,-,
4,"Monday, Apr 11",boxscore,TOR,@,NYY,W,3,0,,1-Mar,1,Tied,Manoah,Taillon,Romano,3:03,N,"26,211",1.04,+,
5,"Tuesday, Apr 12",boxscore,TOR,@,NYY,L,0,4,,2-Mar,2,1,Holmes,Kikuchi,,3:07,N,"25,068",1.07,-,
6,"Wednesday, Apr 13",boxscore,TOR,@,NYY,W,6,4,,2-Apr,1,Tied,Cimber,Green,Romano,3:10,N,"30,109",1.04,+,
7,"Thursday, Apr 14",boxscore,TOR,@,NYY,L,0,3,,3-Apr,1,Tied,Severino,Gausman,King,3:06,N,"37,255",1.07,-,
8,"Friday, Apr 15",boxscore,TOR,,OAK,W,4,1,,3-May,1,up 1.0,Cimber,Jefferies,Romano,3:00,N,"35,415",0.98,+,
9,"Saturday, Apr 16",boxscore,TOR,,OAK,L,5,7,,4-May,1,Tied,Jiménez,Merryweather,Trivino,3:05,D,"32,330",1.05,-,
10,"Sunday, Apr 17",boxscore,TOR,,OAK,W,4,3,,4-Jun,1,up 0.5,Manoah,Oller,Romano,3:05,D,"27,490",1,+,
11,"Tuesday, Apr 19",boxscore,TOR,@,BOS,L,1,2,,5-Jun,1,Tied,Robles,García,Whitlock,3:10,N,"31,640",1.1,-,
12,"Wednesday, Apr 20",boxscore,TOR,@,BOS,W,6,1,,5-Jul,1,Tied,Berríos,Pivetta,,3:07,N,"33,354",1.08,+,
13,"Thursday, Apr 21",boxscore,TOR,@,BOS,W,3,2,,5-Aug,1,up 1.0,Gausman,Houck,Romano,2:59,D,"35,792",1.07,++,
14,"Friday, Apr 22",boxscore,TOR,@,HOU,W,4,3,,5-Sep,1,up 1.0,Mayza,Neris,Romano,2:53,N,"36,757",1.11,+++,
15,"Saturday, Apr 23",boxscore,TOR,@,HOU,W,3,2,,5-Oct,1,up 1.0,Manoah,Taylor,Cimber,2:54,D,"36,075",1.14,++++,
16,"Sunday, Apr 24",boxscore,TOR,@,HOU,L-wo,7,8,10,6-Oct,1,Tied,Taylor,Romano,,3:45,D,"39,534",1.16,-,
17,"Monday, Apr 25",boxscore,TOR,,BOS,W,6,2,,6-Nov,1,up 0.5,Cimber,Strahm,,2:16,N,"20,981",1.16,+,
18,"Tuesday, Apr 26",boxscore,TOR,,BOS,W-wo,6,5,10,6-Dec,1,up 0.5,Romano,Barnes,,3:47,N,"22,611",1.2,++,
19,"Wednesday, Apr 27",boxscore,TOR,,BOS,L,1,7,,7-Dec,2,0.5,Wacha,Thornton,,3:05,N,"20,468",1.22,-,
20,"Thursday, Apr 28",boxscore,TOR,,BOS,W,1,0,,13-7,2,0.5,Manoah,Whitlock,Romano,2:42,D,"23,144",1.18,+,
21,"Friday, Apr 29",boxscore,TOR,,HOU,L,7,11,,13-8,2,1.5,Urquidy,Thornton,,3:42,N,"35,066",1.17,-,
22,"Saturday, Apr 30",boxscore,TOR,,HOU,W,2,1,,14-8,2,1.5,Berríos,Garcia,Romano,2:43,D,"40,732",1.15,+,
23,"Sunday, May 1",boxscore,TOR,,HOU,W,3,2,,15-8,2,1.5,Gausman,Valdez,Romano,2:52,D,"31,802",1.2,++,
24,"Monday, May 2",boxscore,TOR,,NYY,L,2,3,,15-9,2,2.5,Holmes,García,Green,2:54,N,"18,577",1.34,-,
25,"Tuesday, May 3",boxscore,TOR,,NYY,L,1,9,,15-10,2,3.5,Taillon,Cimber,,2:57,N,"22,491",1.3,--,
26,"Wednesday, May 4",boxscore,TOR,,NYY,W,2,1,,16-10,2,2.5,Kikuchi,Cortes,Romano,2:44,N,"29,057",1.25,+,
27,"Thursday, May 5",boxscore,TOR,@,CLE,L,5,6,,16-11,3,3,Civale,Berríos,Clase,3:03,N,"9,104",1.11,-,
28,"Saturday, May 7 (1)",boxscore,TOR,@,CLE,W,8,3,,17-11,3,3,Gausman,Bieber,,3:23,D,,1.12,+,
29,"Saturday, May 7 (2)",boxscore,TOR,@,CLE,L,2,8,,17-12,3,3,McKenzie,Stripling,,2:55,D,"16,819",1.1,-,
30,"Sunday, May 8",boxscore,TOR,@,CLE,L,3,4,,17-13,3,3.5,Shaw,Cimber,Clase,3:02,D,"14,787",1.09,--,
31,"Tuesday, May 10",boxscore,TOR,@,NYY,L-wo,5,6,,17-14,3,5,Peralta,Romano,,3:39,N,"41,522",1.18,---,
32,"Wednesday, May 11",boxscore,TOR,@,NYY,L,3,5,,17-15,3,6,Taillon,Berríos,Chapman,2:50,D,"42,105",1.2,----,
33,"Friday, May 13",boxscore,TOR,@,TBR,L,2,5,,17-16,3,7.5,Kittredge,Gausman,Adam,2:49,N,"10,169",1.05,-----,
34,"Saturday, May 14",boxscore,TOR,@,TBR,W,5,1,,18-16,3,6.5,Mayza,Thompson,,3:03,N,"15,195",1,+,
35,"Sunday, May 15",boxscore,TOR,@,TBR,L,0,3,,18-17,3,7.5,Wisler,Manoah,Kittredge,2:47,D,"20,986",1.07,-,
36,"Monday, May 16",boxscore,TOR,,SEA,W,6,2,,19-17,3,7.5,Kikuchi,Flexen,Cimber,3:23,N,"28,207",0.9,+,
37,"Tuesday, May 17",boxscore,TOR,,SEA,W,3,0,,20-17,3,7.5,Berríos,Gilbert,Cimber,2:20,N,"22,988",0.92,++,
38,"Wednesday, May 18",boxscore,TOR,,SEA,L,1,5,,20-18,3,8.5,Gonzales,Gausman,,2:47,N,"20,472",1,-,
39,"Friday, May 20",boxscore,TOR,,CIN,W,2,1,,21-18,3,7.5,Ryu,Castillo,Romano,2:42,N,"29,300",0.86,+,
40,"Saturday, May 21",boxscore,TOR,,CIN,W,3,1,,22-18,3,7.5,Manoah,Cessa,Romano,2:19,D,"39,393",0.96,++,
